序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,洪孟楷,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,福華加油站,22868379,0.00,1296.00,,,,油資,金錢,臺北市文山區****,02-2*****,,,,,,,
2,洪孟楷,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,晴晴花藝有限公司,27346239,0.00,1500.00,,,,聯誼交際費用,金錢,臺北市文山區****,02-2*****,,,,,,,
3,洪孟楷,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,利民鮮花店,37509210,0.00,1200.00,,,,聯誼交際費用,金錢,新北市三芝區****,2636*****,,,,,,,
4,洪孟楷,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,中泰加油站,97491798,0.00,1100.00,,,,油資,金錢,新北市泰山區****,02-2*****,,,,,,,
5,洪孟楷,109年立法委員選舉,第一次賸餘,1090218,當選後與其公務有關之費用支出,晴晴花藝有限公司,27346239,0.00,1200.00,,,,聯誼交際費用,金錢,臺北市文山區****,02-2*****,,,,,,,
6,洪孟楷,109年立法委員選舉,第一次賸餘,1090218,當選後與其公務有關之費用支出,甲子廣告工程有限公司,27477999,0.00,17000.00,,,,裝潢費用,金錢,桃園市桃園區****,03-3*****,,,,,,,
7,洪孟楷,109年立法委員選舉,第一次賸餘,1090218,當選後與其公務有關之費用支出,台灣中油,35068309,0.00,1248.00,,,,油資,金錢,新北市三重區****,02-2*****,,,,,,,
8,洪孟楷,109年立法委員選舉,第一次賸餘,1090221,當選後與其公務有關之費用支出,三花加油站,68135238,0.00,1333.00,,,,油資,金錢,新北市新莊區****,02-2*****,,,,,,,
9,洪孟楷,109年立法委員選舉,第一次賸餘,1090222,當選後與其公務有關之費用支出,晴晴花藝有限公司,27346239,0.00,1200.00,,,,聯誼交際費用,金錢,臺北市文山區****,02-2*****,,,,,,,
10,洪孟楷,109年立法委員選舉,第一次賸餘,1090222,當選後與其公務有關之費用支出,利民鮮花店,37509210,0.00,1200.00,,,,聯誼交際費用,金錢,新北市三芝區****,2636*****,,,,,,,
11,洪孟楷,109年立法委員選舉,第一次賸餘,1090225,當選後與其公務有關之費用支出,台亞加油站,31439028,0.00,981.00,,,,油資,金錢,新北市林口區****,02-2*****,,,,,,,
12,洪孟楷,109年立法委員選舉,第一次賸餘,1090227,當選後與其公務有關之費用支出,新弘光國際傳播股份有限公司,13074882,0.00,840.00,,,,製作宣傳廣告費用,金錢,臺北市內湖區****,2369*****,,,,,,,
13,洪孟楷,109年立法委員選舉,第一次賸餘,1090227,當選後與其公務有關之費用支出,創意家國際有限公司,27665710,0.00,11333.00,,,,當選後與其公務有關之費用支出,金錢,新北市泰山區****,02-2*****,,,,,,,
14,洪孟楷,109年立法委員選舉,第一次賸餘,1090229,當選後與其公務有關之費用支出,利民鮮花店,37509210,0.00,1200.00,,,,聯誼交際費用,金錢,新北市三芝區****,2636*****,,,,,,,
15,洪孟楷,109年立法委員選舉,第一次賸餘,1090229,當選後與其公務有關之費用支出,台灣中油,73905876,0.00,1402.00,,,,油資,金錢,臺北市內湖區****,02-2*****,,,,,,,
16,洪孟楷,109年立法委員選舉,第一次賸餘,1090305,當選後與其公務有關之費用支出,台亞加油站,31439028,0.00,1000.00,,,,油資,金錢,新北市林口區****,02-2*****,,,,,,,
17,洪孟楷,109年立法委員選舉,第一次賸餘,1090306,當選後與其公務有關之費用支出,LUXGEN,25683728,0.00,3580.00,,,,汽機車燃料費用,金錢,臺北市中山區****,02-2*****,,,,,,,
18,洪孟楷,109年立法委員選舉,第一次賸餘,1090308,當選後與其公務有關之費用支出,花客來花店,50676289,0.00,2400.00,,,,聯誼交際費用,金錢,新北市永和區****,02-2*****,,,,,,,
19,洪孟楷,109年立法委員選舉,第一次賸餘,1090308,當選後與其公務有關之費用支出,中泰加油站,97491798,0.00,1247.00,,,,油資,金錢,新北市泰山區****,02-2*****,,,,,,,
20,洪孟楷,109年立法委員選舉,第一次賸餘,1090309,當選後與其公務有關之費用支出,花客來花店,50676289,0.00,3600.00,,,,聯誼交際費用,金錢,新北市永和區****,02-2*****,,,,,,,
21,洪孟楷,109年立法委員選舉,第一次賸餘,1090312,當選後與其公務有關之費用支出,台灣中油,35048162,0.00,1041.00,,,,油資,金錢,新北市泰山區****,02-2*****,,,,,,,
22,洪孟楷,109年立法委員選舉,第一次賸餘,1090315,當選後與其公務有關之費用支出,台灣中油,01490119,0.00,1173.00,,,,油資,金錢,臺北市中山區****,02-2*****,,,,,,,
23,洪孟楷,109年立法委員選舉,第一次賸餘,1090320,當選後與其公務有關之費用支出,新弘光國際傳播股份有限公司,13074882,0.00,315.00,,,,當選後與其公務有關之費用支出,金錢,臺北市內湖區****,2369*****,,,,,,,
24,洪孟楷,109年立法委員選舉,第一次賸餘,1090323,當選後與其公務有關之費用支出,聖洋科技,28112580,0.00,12600.00,,,,刊登或託播宣傳廣告費用,金錢,臺北市大安區****,02-6*****,,,,,,,
