序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,無黨團結聯盟,,109,1090921,雜支支出,臺灣銀行成功分行,,0.00,30.00,,,,匯費,金錢,高雄市苓雅區****,,,,,,,,
2,無黨團結聯盟,,109,1090924,公共關係費用支出,澎澄飯店,24892488,0.00,29260.00,,,,聯誼交際費用,金錢,澎湖縣馬公市****,,,,,,,,
3,無黨團結聯盟,,109,1090925,公共關係費用支出,馥酩宴農尚事業有限公司,85061631,0.00,189600.00,,,,聯誼交際費用,金錢,臺南市永康區****,,,,,,,,
4,無黨團結聯盟,,109,1090925,雜支支出,臺灣銀行成功分行,,0.00,30.00,,,,匯費,金錢,高雄市苓雅區****,,,,,,,,
5,無黨團結聯盟,,109,1090926,公共關係費用支出,貴山國際有限公司,54245410,0.00,57300.00,,,,聯誼交際費用,金錢,澎湖縣馬公市****,,,,,,,,
6,無黨團結聯盟,,109,1090926,雜支支出,臺灣銀行成功分行,,0.00,30.00,,,,匯費,金錢,高雄市苓雅區****,,,,,,,,
7,無黨團結聯盟,,109,1091028,業務費用支出,立榮航空股份有限公司,22958771,0.00,666.00,,,,差旅費-機票款,金錢,臺北市中山區****,,,,,,,,
8,無黨團結聯盟,,109,1091028,公共關係費用支出,澎澄飯店,24892488,0.00,8558.00,,,,澎湖黨代表餐敘,金錢,澎湖縣馬公市****,,,,,,,,
9,無黨團結聯盟,,109,1091028,公共關係費用支出,澎澄飯店,24892488,0.00,22858.00,,,,澎湖黨代表餐敘,金錢,澎湖縣馬公市****,,,,,,,,
10,無黨團結聯盟,,109,1091028,公共關係費用支出,清心飲料店,87733614,0.00,12000.00,,,,澎湖黨代表餐敘,金錢,澎湖縣西嶼鄉****,,,,,,,,
11,無黨團結聯盟,,109,1091028,公共關係費用支出,澎澄飯店,24892488,0.00,15616.00,,,,澎湖黨代表餐敘,金錢,澎湖縣馬公市****,,,,,,,,
12,無黨團結聯盟,,109,1091028,業務費用支出,立榮航空股份有限公司,22958771,0.00,589.00,,,,差旅費-機票款,金錢,臺北市中山區****,,,,,,,,
13,無黨團結聯盟,,109,1091028,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,1220.00,,,,差旅費-高鐵,金錢,臺北市南港區****,,,,,,,,
14,無黨團結聯盟,,109,1091028,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,745.00,,,,差旅費-高鐵,金錢,臺北市南港區****,,,,,,,,
15,無黨團結聯盟,,109,1091028,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,1220.00,,,,差旅費-高鐵,金錢,臺北市南港區****,,,,,,,,
16,無黨團結聯盟,,109,1091028,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,745.00,,,,差旅費-高鐵,金錢,臺北市南港區****,,,,,,,,
17,無黨團結聯盟,,109,1091028,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,1220.00,,,,差旅費-高鐵,金錢,臺北市南港區****,,,,,,,,
18,無黨團結聯盟,,109,1091028,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,1220.00,,,,差旅費-高鐵,金錢,臺北市南港區****,,,,,,,,
19,無黨團結聯盟,,109,1091028,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,1220.00,,,,差旅費-高鐵,金錢,臺北市南港區****,,,,,,,,
20,無黨團結聯盟,,109,1091028,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,1220.00,,,,差旅費-高鐵,金錢,臺北市南港區****,,,,,,,,
21,無黨團結聯盟,,109,1091028,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,745.00,,,,差旅費-高鐵,金錢,臺北市南港區****,,,,,,,,
22,無黨團結聯盟,,109,1091028,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,1330.00,,,,差旅費-高鐵,金錢,臺北市南港區****,,,,,,,,
23,無黨團結聯盟,,109,1091028,業務費用支出,立榮航空股份有限公司,22958771,0.00,589.00,,,,差旅費-機票款,金錢,臺北市中山區****,,,,,,,,
24,無黨團結聯盟,,109,1091028,業務費用支出,立榮航空股份有限公司,22958771,0.00,561.00,,,,差旅費-機票款,金錢,臺北市中山區****,,,,,,,,
25,無黨團結聯盟,,109,1091028,業務費用支出,立榮航空股份有限公司,22958771,0.00,952.00,,,,差旅費-機票款,金錢,臺北市中山區****,,,,,,,,
26,無黨團結聯盟,,109,1091028,業務費用支出,華信航空股份有限公司馬公營業所,87750937,0.00,603.00,,,,差旅費-機票款,金錢,澎湖縣湖西鄉****,,,,,,,,
27,無黨團結聯盟,,109,1091028,業務費用支出,華信航空股份有限公司馬公營業所,87750937,0.00,603.00,,,,差旅費-機票款,金錢,澎湖縣湖西鄉****,,,,,,,,
28,無黨團結聯盟,,109,1091028,業務費用支出,華信航空股份有限公司馬公營業所,87750937,0.00,575.00,,,,差旅費-機票款,金錢,澎湖縣湖西鄉****,,,,,,,,
29,無黨團結聯盟,,109,1091028,業務費用支出,寒舍餐旅管理顧問股份有限公司,70471881,0.00,4389.00,,,,差旅膳宿費用,金錢,臺北市中正區****,,,,,,,,
30,無黨團結聯盟,,109,1091028,業務費用支出,寒舍餐旅管理顧問股份有限公司,70471881,0.00,4389.00,,,,差旅膳宿費用,金錢,臺北市中正區****,,,,,,,,
