序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,吳世正,111年臺北市議員選舉,第1次賸餘,1111227,支付當選後與其公務有關之費用,計程車,,0.00,120.00,,,,搭乘交通工具費用,金錢,,0289*****,否,,,,,,,
2,吳世正,111年臺北市議員選舉,第1次賸餘,1111227,支付當選後與其公務有關之費用,計程車,,0.00,140.00,,,,其他與交通旅運有關之費用,金錢,,0916*****,否,,,,,,,
3,吳世正,111年臺北市議員選舉,第1次賸餘,1111228,支付當選後與其公務有關之費用,全國加油站,09734449,0.00,720.00,,,,油資,金錢,,,否,,,,,,,
4,吳世正,111年臺北市議員選舉,第1次賸餘,1111228,支付當選後與其公務有關之費用,多吉那,90372939,0.00,800.00,,,,聯誼交際費用,金錢,,,否,,,,,,,
5,吳世正,111年臺北市議員選舉,第1次賸餘,1111229,支付當選後與其公務有關之費用,爭鮮餐飲,27536250,0.00,720.00,,,,餐飲費用,金錢,,,否,,,,,,,
6,吳世正,111年臺北市議員選舉,第1次賸餘,1111230,支付當選後與其公務有關之費用,正隆加油站,97028905,0.00,300.00,,,,油資,金錢,,,否,,,,,,,
7,吳世正,111年臺北市議員選舉,第1次賸餘,1111231,支付當選後與其公務有關之費用,統一時代,28994845,0.00,796.00,,,,餐飲費用,金錢,,,否,,,,,,,
8,吳世正,111年臺北市議員選舉,第1次賸餘,1111231,支付當選後與其公務有關之費用,九和汽車,72950839,0.00,25630.00,,,,雜項購置或修繕費用,金錢,,,否,,,,,,,
9,吳世正,111年臺北市議員選舉,第1次賸餘,1120102,支付當選後與其公務有關之費用,全國加油站,09734449,0.00,1809.00,,,,油資,金錢,,,否,,,,,,,
10,吳世正,111年臺北市議員選舉,第1次賸餘,1120103,支付當選後與其公務有關之費用,夯麵坊,10386427,0.00,990.00,,,,餐飲費用,金錢,,,否,,,,,,,
11,吳世正,111年臺北市議員選舉,第1次賸餘,1120105,支付當選後與其公務有關之費用,計程車,,0.00,180.00,,,,其他與交通旅運有關之費用,金錢,,0227*****,否,,,,,,,
12,吳世正,111年臺北市議員選舉,第1次賸餘,1120106,支付當選後與其公務有關之費用,計程車,,0.00,125.00,,,,其他與交通旅運有關之費用,金錢,,0227*****,否,,,,,,,
13,吳世正,111年臺北市議員選舉,第1次賸餘,1120106,支付當選後與其公務有關之費用,文慶雞,80155814,0.00,810.00,,,,餐飲費用,金錢,,,否,,,,,,,
14,吳世正,111年臺北市議員選舉,第1次賸餘,1120110,支付當選後與其公務有關之費用,陳義昌,,0.00,20000.00,,,,獎金或津貼,金錢,臺北市南港區****,,否,,,,,,,
15,吳世正,111年臺北市議員選舉,第1次賸餘,1120110,支付當選後與其公務有關之費用,全國加油站,09734449,0.00,1609.00,,,,油資,金錢,,,否,,,,,,,
16,吳世正,111年臺北市議員選舉,第1次賸餘,1120111,支付當選後與其公務有關之費用,全國加油站,09734449,0.00,1280.00,,,,油資,金錢,,,否,,,,,,,
17,吳世正,111年臺北市議員選舉,第1次賸餘,1120113,支付當選後與其公務有關之費用,食將王,26374931,0.00,520.00,,,,餐飲費用,金錢,,,否,,,,,,,
18,吳世正,111年臺北市議員選舉,第1次賸餘,1120116,支付當選後與其公務有關之費用,中華郵政,04137838,0.00,74902.00,,,,郵寄競選物品或宣傳廣告費用,金錢,臺北市中正區****,,否,,,,,,,
19,吳世正,111年臺北市議員選舉,第1次賸餘,1120118,支付當選後與其公務有關之費用,全國加油站,09734449,0.00,655.00,,,,油資,金錢,,,否,,,,,,,
20,吳世正,111年臺北市議員選舉,第1次賸餘,1120118,支付當選後與其公務有關之費用,全國加油站,09734449,0.00,1600.00,,,,油資,金錢,,,否,,,,,,,
21,吳世正,111年臺北市議員選舉,第1次賸餘,1120118,支付當選後與其公務有關之費用,遠傳電信,97179430,0.00,1328.00,,,,電信費用,金錢,,,否,,,,,,,
22,吳世正,111年臺北市議員選舉,第1次賸餘,1120119,支付當選後與其公務有關之費用,大河屋,88090625,0.00,880.00,,,,餐飲費用,金錢,,,否,,,,,,,
23,吳世正,111年臺北市議員選舉,第1次賸餘,1120120,支付當選後與其公務有關之費用,老字號小吃,48976660,0.00,860.00,,,,餐飲費用,金錢,,,否,,,,,,,
24,吳世正,111年臺北市議員選舉,第1次賸餘,1120124,支付當選後與其公務有關之費用,遠東百貨,54911841,0.00,2332.00,,,,餐飲費用,金錢,,,否,,,,,,,
25,吳世正,111年臺北市議員選舉,第1次賸餘,1120125,支付當選後與其公務有關之費用,一千零一夜廚房,85016398,0.00,2636.00,,,,聯誼交際費用,金錢,,,否,,,,,,,
26,吳世正,111年臺北市議員選舉,第1次賸餘,1120127,支付當選後與其公務有關之費用,鮮王小吃店,31867724,0.00,530.00,,,,餐飲費用,金錢,,,否,,,,,,,
27,吳世正,111年臺北市議員選舉,第1次賸餘,1120130,支付當選後與其公務有關之費用,江記水盆羊肉,31957149,0.00,1250.00,,,,餐飲費用,金錢,,,否,,,,,,,
