序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,馬文君,105年立法委員選舉,第三次賸餘,1070101,當選後與其公務有關之費用支出,草屯辦事處,,0.00,300.00,書報雜誌費用,金錢,草屯鎮自由街****,,
2,馬文君,105年立法委員選舉,第三次賸餘,1070101,當選後與其公務有關之費用支出,台灣自來水股份有限公司第四區管理處埔里營運所,,0.00,495.00,水電瓦斯費用,金錢,南投縣埔里鎮****,,
3,馬文君,105年立法委員選舉,第三次賸餘,1070101,當選後與其公務有關之費用支出,大埔里廣告派報社,09231679,0.00,600.00,書報雜誌費用,金錢,南投縣埔里鎮****,,
4,馬文君,105年立法委員選舉,第三次賸餘,1070101,當選後與其公務有關之費用支出,大埔里廣告派報社,09231679,0.00,300.00,書報雜誌費用,金錢,南投縣埔里鎮****,,
5,馬文君,105年立法委員選舉,第三次賸餘,1070101,當選後與其公務有關之費用支出,和運租車股份有限公司台中分公司,80542359,0.00,56000.00,租用宣傳車輛支出,金錢,臺中市西屯區****,,
6,馬文君,105年立法委員選舉,第三次賸餘,1070102,當選後與其公務有關之費用支出,台中時報社,,0.00,2000.00,播送、傳送或刊登宣傳廣告支出,金錢,臺中市北區明****,,
7,馬文君,105年立法委員選舉,第三次賸餘,1070102,當選後與其公務有關之費用支出,詰得貿易有限公司,12779314,0.00,7920.00,公共關係,金錢,臺中市烏日區****,,
8,馬文君,105年立法委員選舉,第三次賸餘,1070102,當選後與其公務有關之費用支出,詰得貿易有限公司,12779314,0.00,7920.00,公共關係,金錢,臺中市烏日區****,,
9,馬文君,105年立法委員選舉,第三次賸餘,1070102,當選後與其公務有關之費用支出,台灣中油股份有限公司油品行銷事業部台中營業處埔里加油,62023708,0.00,500.00,油資,金錢,南投縣埔里鎮****,,
10,馬文君,105年立法委員選舉,第三次賸餘,1070102,當選後與其公務有關之費用支出,宇祥文具行,99677594,0.00,1000.00,印刷費,金錢,南投縣草屯鎮****,,
11,馬文君,105年立法委員選舉,第三次賸餘,1070104,當選後與其公務有關之費用支出,詹其清,,0.00,3100.00,公共關係,金錢,南投縣中寮鄉****,0919*****,
12,馬文君,105年立法委員選舉,第三次賸餘,1070104,當選後與其公務有關之費用支出,劉伙木,,0.00,3100.00,公共關係,金錢,南投縣中寮鄉****,0912*****,
13,馬文君,105年立法委員選舉,第三次賸餘,1070104,當選後與其公務有關之費用支出,彭馨儀,,0.00,2100.00,公共關係,金錢,南投縣中寮鄉****,049-*****,
14,馬文君,105年立法委員選舉,第三次賸餘,1070104,當選後與其公務有關之費用支出,張德全,,0.00,2100.00,公共關係,金錢,埔里鎮廣成里****,,
15,馬文君,105年立法委員選舉,第三次賸餘,1070104,當選後與其公務有關之費用支出,林美雲,,0.00,2100.00,公共關係,金錢,埔里鎮蜈蚣里****,0958*****,
16,馬文君,105年立法委員選舉,第三次賸餘,1070104,當選後與其公務有關之費用支出,台灣高速鐵路股份有限公司,16446274,0.00,720.00,搭乘交通工具支出,金錢,臺北市南港區****,,
17,馬文君,105年立法委員選舉,第三次賸餘,1070104,當選後與其公務有關之費用支出,台灣中油股份有限公司油品行銷事業部台中營業處埔里加油,62023708,0.00,1325.00,油資,金錢,南投縣埔里鎮****,,
18,馬文君,105年立法委員選舉,第三次賸餘,1070105,當選後與其公務有關之費用支出,統一速達股份有限公司埔里營業區,,0.00,420.00,郵寄競選物品或宣傳廣告支出,金錢,南投縣埔里鎮****,,
19,馬文君,105年立法委員選舉,第三次賸餘,1070105,當選後與其公務有關之費用支出,松興花藝店,01415273,0.00,1200.00,公共關係,金錢,臺北市萬華區****,,
