序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,李正皓,111年新北市議員選舉,首次申報,1110716,雜支支出,南山福德宮,80918165,0.00,600.00,,,,雜項購置或修繕費用,金錢,新北市中和區****,,否,,,,,,,
2,李正皓,111年新北市議員選舉,首次申報,1110719,交通旅運支出,全家便利商店股份有限公司,23060248,0.00,50.00,,,,停車費,金錢,臺北市中山區****,,否,,,,,,,
3,李正皓,111年新北市議員選舉,首次申報,1110719,交通旅運支出,大日開發有限公司溪美營業所,91165640,0.00,150.00,,,,停車費,金錢,新北市三重區****,,否,,,,,,,
4,李正皓,111年新北市議員選舉,首次申報,1110720,交通旅運支出,台灣高速鐵路股份有限公司,16446274,0.00,725.00,,,,搭乘交通工具費用,金錢,臺北市南港區****,,否,,,,,,,
5,李正皓,111年新北市議員選舉,首次申報,1110720,交通旅運支出,台灣高速鐵路股份有限公司,16446274,0.00,700.00,,,,搭乘交通工具費用,金錢,臺北市南港區****,,否,,,,,,,
6,李正皓,111年新北市議員選舉,首次申報,1110720,交通旅運支出,大日開發有限公司中和國小營業所,50640017,0.00,150.00,,,,停車費,金錢,新北市中和區****,,否,,,,,,,
7,李正皓,111年新北市議員選舉,首次申報,1110720,交通旅運支出,大日開發有限公司中和國小營業所,50640017,0.00,150.00,,,,停車費,金錢,新北市中和區****,,否,,,,,,,
8,李正皓,111年新北市議員選舉,首次申報,1110721,雜支支出,全家便利商店股份有限公司-新湖分公司,80033221,0.00,98.00,,,,餐飲費用,金錢,臺北市內湖區****,,否,,,,,,,
9,李正皓,111年新北市議員選舉,首次申報,1110721,交通旅運支出,永田有限公司站前營業所,88132815,0.00,360.00,,,,停車費,金錢,臺北市中正區****,,否,,,,,,,
10,李正皓,111年新北市議員選舉,首次申報,1110722,雜支支出,統一超商股份有限公司-台北市第九九一分公司,54918817,0.00,33.00,,,,餐飲費用,金錢,臺北市內湖區****,,否,,,,,,,
11,李正皓,111年新北市議員選舉,首次申報,1110722,雜支支出,統一超商股份有限公司-台北市第四八九分公司,70804847,0.00,42.00,,,,餐飲費用,金錢,臺北市內湖區****,,否,,,,,,,
12,李正皓,111年新北市議員選舉,首次申報,1110722,交通旅運支出,大日開發有限公司溪美營業所,91165640,0.00,150.00,,,,停車費,金錢,新北市三重區****,,否,,,,,,,
13,李正皓,111年新北市議員選舉,首次申報,1110723,雜支支出,品金有限公司,66522254,0.00,3960.00,,,,餐飲費用,金錢,臺北市中山區****,,否,,,,,,,
14,李正皓,111年新北市議員選舉,首次申報,1110725,交通旅運支出,大日開發有限公司溪美營業所,91165640,0.00,210.00,,,,停車費,金錢,新北市三重區****,,否,,,,,,,
