序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,林德福,105年立法委員選舉,第三次賸餘,1070102,當選後與其公務有關之費用支出,台灣中油股份有限公司,01317131,0.00,1118.00,油資,金錢,,,
2,林德福,105年立法委員選舉,第三次賸餘,1070102,當選後與其公務有關之費用支出,盛康實業股份有限公司,23939014,0.00,38880.00,包裝飲用水CC*瓶,金錢,新北市永和區****,2393*****,
3,林德福,105年立法委員選舉,第三次賸餘,1070102,當選後與其公務有關之費用支出,瞞著爹股份有限公司,38545713,0.00,4455.00,餐飲支出,金錢,,,
4,林德福,105年立法委員選舉,第三次賸餘,1070103,當選後與其公務有關之費用支出,威肯公共關係顧問股份有限公司,23898479,0.00,7000.00,製作宣傳廣告支出,金錢,,,
5,林德福,105年立法委員選舉,第三次賸餘,1070103,當選後與其公務有關之費用支出,先施印通股份有限公司,53748370,0.00,1316.00,製作競選物品支出-宣傳印刷品,金錢,,,
6,林德福,105年立法委員選舉,第三次賸餘,1070104,當選後與其公務有關之費用支出,陳鼎有限公司陳三鼎營業處,42478069,0.00,760.00,餐飲支出,金錢,,,
7,林德福,105年立法委員選舉,第三次賸餘,1070105,當選後與其公務有關之費用支出,新北市停車處,,0.00,10.00,停車費,金錢,,,
8,林德福,105年立法委員選舉,第三次賸餘,1070105,當選後與其公務有關之費用支出,好停企業有限公司,39951843,0.00,60.00,停車費,金錢,,,
9,林德福,105年立法委員選舉,第三次賸餘,1070105,當選後與其公務有關之費用支出,光南大批發,80594927,0.00,316.00,文具用品費用,金錢,,,
10,林德福,105年立法委員選舉,第三次賸餘,1070105,當選後與其公務有關之費用支出,中華電信股份有限公司,92887342,0.00,2300.00,電信費用-中華電信費,金錢,,,
11,林德福,105年立法委員選舉,第三次賸餘,1070107,當選後與其公務有關之費用支出,微風廣場,89477962,0.00,1692.00,餐飲支出,金錢,,,
12,林德福,105年立法委員選舉,第三次賸餘,1070108,當選後與其公務有關之費用支出,歐特儀股份有限公司,42388638,0.00,25.00,停車費,金錢,,,
13,林德福,105年立法委員選舉,第三次賸餘,1070109,當選後與其公務有關之費用支出,艾靈頓音樂餐坊,26227426,0.00,1815.00,餐飲支出,金錢,,,
14,林德福,105年立法委員選舉,第三次賸餘,1070109,當選後與其公務有關之費用支出,歐特儀股份有限公司,42388638,0.00,25.00,停車費,金錢,,,
15,林德福,105年立法委員選舉,第三次賸餘,1070109,當選後與其公務有關之費用支出,台灣中油股份有限公司,66902331,0.00,1287.00,油資,金錢,,,
16,林德福,105年立法委員選舉,第三次賸餘,1070110,當選後與其公務有關之費用支出,百合鮮花店,47213969,0.00,2000.00,聯誼交際費用-高架花籃對,金錢,,,
17,林德福,105年立法委員選舉,第三次賸餘,1070111,當選後與其公務有關之費用支出,商証股份有限公司,80361722,0.00,252.00,文具用品費用,金錢,,,
18,林德福,105年立法委員選舉,第三次賸餘,1070112,當選後與其公務有關之費用支出,台北自來公司,03774909,0.00,235.00,水電瓦斯費用-水費,金錢,,,
19,林德福,105年立法委員選舉,第三次賸餘,1070112,當選後與其公務有關之費用支出,康帝園有限公司,27719510,0.00,4485.00,餐飲支出,金錢,,,
20,林德福,105年立法委員選舉,第三次賸餘,1070113,當選後與其公務有關之費用支出,紅樓有限公司,27655179,0.00,1647.00,餐飲支出,金錢,,,
21,林德福,105年立法委員選舉,第三次賸餘,1070113,當選後與其公務有關之費用支出,振育有限公司,28727475,0.00,250.00,萬用去汙劑,金錢,,,
22,林德福,105年立法委員選舉,第三次賸餘,1070115,當選後與其公務有關之費用支出,中華郵政股份有限公司,,0.00,156.00,郵寄競選物品或宣傳廣告支出,金錢,,,
23,林德福,105年立法委員選舉,第三次賸餘,1070116,當選後與其公務有關之費用支出,育人美術社,34732980,0.00,950.00,文具用品費用-影印紙,金錢,,,
24,林德福,105年立法委員選舉,第三次賸餘,1070116,當選後與其公務有關之費用支出,久贏商號,42357234,0.00,4530.00,餐飲支出,金錢,,,
25,林德福,105年立法委員選舉,第三次賸餘,1070118,當選後與其公務有關之費用支出,新光三越百貨股份有限公司,84308670,0.00,500.00,清潔用品,金錢,,,
26,林德福,105年立法委員選舉,第三次賸餘,1070119,當選後與其公務有關之費用支出,TAT-930,,0.00,145.00,搭乘交通工具支出,金錢,,,
27,林德福,105年立法委員選舉,第三次賸餘,1070119,當選後與其公務有關之費用支出,中華郵政股份有限公司,,0.00,50.00,郵寄競選物品或宣傳廣告支出,金錢,,,
28,林德福,105年立法委員選舉,第三次賸餘,1070119,當選後與其公務有關之費用支出,立旺花店,14607274,0.00,2000.00,聯誼交際費用-高架花籃對,金錢,,,
29,林德福,105年立法委員選舉,第三次賸餘,1070119,當選後與其公務有關之費用支出,京站實業股份有限公司,28710621,0.00,305.00,餐飲支出,金錢,,,
30,林德福,105年立法委員選舉,第三次賸餘,1070119,當選後與其公務有關之費用支出,豐喜食品股份有限公司,72938195,0.00,121.00,餐飲支出,金錢,,,
31,林德福,105年立法委員選舉,第三次賸餘,1070119,當選後與其公務有關之費用支出,中華電信股份有限公司,92887342,0.00,2159.00,電信費用-中華電信費,金錢,,,
32,林德福,105年立法委員選舉,第三次賸餘,1070121,當選後與其公務有關之費用支出,台北市停車管理工程處,,0.00,30.00,停車費,金錢,,,
33,林德福,105年立法委員選舉,第三次賸餘,1070121,當選後與其公務有關之費用支出,大潤發,16742459,0.00,1634.00,餐飲支出,金錢,,,
34,林德福,105年立法委員選舉,第三次賸餘,1070121,當選後與其公務有關之費用支出,波奇餐坊,25552508,0.00,3000.00,餐飲支出,金錢,,,
35,林德福,105年立法委員選舉,第三次賸餘,1070121,當選後與其公務有關之費用支出,台灣中油股份有限公司,66902331,0.00,1109.00,油資,金錢,,,
36,林德福,105年立法委員選舉,第三次賸餘,1070124,當選後與其公務有關之費用支出,勇宏實業有限公司,79960349,0.00,160913.00,製作宣傳廣告支出-春聯張,金錢,新北市永和區****,2921*****,
37,林德福,105年立法委員選舉,第三次賸餘,1070125,當選後與其公務有關之費用支出,台北捷運股份有限公司,,0.00,200.00,搭乘交通工具支出,金錢,,,
38,林德福,105年立法委員選舉,第三次賸餘,1070125,當選後與其公務有關之費用支出,晶實科技股份有限公司,26300328,0.00,2490.00,電腦週邊-電線,金錢,,,
39,林德福,105年立法委員選舉,第三次賸餘,1070130,當選後與其公務有關之費用支出,泳順輪胎有限公司,16567163,0.00,24780.00,維修宣傳車輛支出,金錢,,,
40,林德福,105年立法委員選舉,第三次賸餘,1070131,當選後與其公務有關之費用支出,中華郵政股份有限公司,,0.00,35.00,郵寄競選物品或宣傳廣告支出,金錢,,,
41,林德福,105年立法委員選舉,第三次賸餘,1070131,當選後與其公務有關之費用支出,文化派報社,,0.00,900.00,書報雜誌費用-報費,金錢,,,
42,林德福,105年立法委員選舉,第三次賸餘,1070131,當選後與其公務有關之費用支出,林家花苑,66926072,0.00,15700.00,聯誼交際費用-高架花籃批,金錢,,,
43,林德福,105年立法委員選舉,第三次賸餘,1070201,當選後與其公務有關之費用支出,台灣中油股份有限公司,01317131,0.00,1196.00,油資,金錢,,,
44,林德福,105年立法委員選舉,第三次賸餘,1070202,當選後與其公務有關之費用支出,中華郵政股份有限公司,,0.00,84.00,郵寄競選物品或宣傳廣告支出,金錢,,,
45,林德福,105年立法委員選舉,第三次賸餘,1070202,當選後與其公務有關之費用支出,FACEBOOK IRELAND LTD.,,0.00,11000.00,播送、傳送或刊登宣傳廣告支出-臉書宣傳費,金錢,,,
46,林德福,105年立法委員選舉,第三次賸餘,1070202,當選後與其公務有關之費用支出,台灣電力公司,04860092,0.00,1461.00,水電瓦斯費用-電費,金錢,,,
47,林德福,105年立法委員選舉,第三次賸餘,1070202,當選後與其公務有關之費用支出,港九香滿樓餐廳股份有限公司,22470602,0.00,946.00,餐飲支出,金錢,,,
48,林德福,105年立法委員選舉,第三次賸餘,1070204,當選後與其公務有關之費用支出,歐儀特股份有限公司,42388638,0.00,25.00,停車費,金錢,,,
49,林德福,105年立法委員選舉,第三次賸餘,1070204,當選後與其公務有關之費用支出,四知堂國際股份有限公司,54671027,0.00,2486.00,餐飲支出,金錢,,,
50,林德福,105年立法委員選舉,第三次賸餘,1070204,當選後與其公務有關之費用支出,台灣中油股份有限公司,66902331,0.00,1350.00,油資,金錢,,,
51,林德福,105年立法委員選舉,第三次賸餘,1070205,當選後與其公務有關之費用支出,禾園溫泉餐廳,01403706,0.00,400.00,餐飲支出,金錢,,,
52,林德福,105年立法委員選舉,第三次賸餘,1070205,當選後與其公務有關之費用支出,歐特儀股份有限公司,42388638,0.00,25.00,停車費,金錢,,,
53,林德福,105年立法委員選舉,第三次賸餘,1070206,當選後與其公務有關之費用支出,佳泓汽球花藝設計坊,15777520,0.00,32400.00,聯誼交際費用-高架花籃批,金錢,新北市永和區****,8923*****,
54,林德福,105年立法委員選舉,第三次賸餘,1070206,當選後與其公務有關之費用支出,歐特儀股份有限公司,42388638,0.00,25.00,停車費,金錢,,,
55,林德福,105年立法委員選舉,第三次賸餘,1070206,當選後與其公務有關之費用支出,惠康百貨股份有限公司,84309158,0.00,122.00,餐飲費用,金錢,,,
