序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,喜樂島聯盟,,109,1090102,選務費用支出,嘉里大榮物流股份有限公司三重營業所,35041007,0.00,710.00,,,,郵寄競選物品或宣傳廣告費用,金錢,新北市新莊區****,,,,,,,,
2,喜樂島聯盟,,109,1090103,選務費用支出,統一速達股份有限公司仁德營業區,13937038,0.00,250.00,,,,郵寄競選物品或宣傳廣告費用,金錢,臺南市仁德區****,,,,,,,,
3,喜樂島聯盟,,109,1090104,選務費用支出,統一速達股份有限公司仁德營業區,13937038,0.00,130.00,,,,郵寄競選物品或宣傳廣告費用,金錢,,,,,,,,,
4,喜樂島聯盟,,109,1090105,業務費用支出,裕元花園酒店股份有限公司,80440992,0.00,17358.00,,,,差旅膳宿費用,金錢,,,,,,,,,
5,喜樂島聯盟,,109,1090106,選務費用支出,人民傳媒有限公司,55175307,0.00,100000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,臺北市中山區****,,,,,,,,
6,喜樂島聯盟,,109,1090106,選務費用支出,統一速達股份有限公司仁德營業區,13937038,0.00,750.00,,,,郵寄競選物品或宣傳廣告費用,金錢,,,,,,,,,
7,喜樂島聯盟,,109,1090106,選務費用支出,統一速達股份有限公司,25968647,0.00,500.00,,,,郵寄競選物品或宣傳廣告費用,金錢,,,,,,,,,
8,喜樂島聯盟,,109,1090107,選務費用支出,台灣宅配通股份有限公司仁德營業所,10803696,0.00,1000.00,,,,郵寄競選物品或宣傳廣告費用,金錢,,,,,,,,,
9,喜樂島聯盟,,109,1090110,業務費用支出,任氏事務機器行,36949226,0.00,2717.00,,,,租買辦公設備費用,金錢,高雄市路竹區****,,,,,,,,
10,喜樂島聯盟,,109,1090113,選務費用支出,濁水溪廣播電台股份有限公司,96862764,0.00,36000.00,,,,製作競選物品或宣傳廣告費用,金錢,雲林縣虎尾鎮****,,,,,,,,
11,喜樂島聯盟,,109,1090113,選務費用支出,濁水溪廣播電台股份有限公司,96862764,0.00,72000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,雲林縣虎尾鎮****,,,,,,,,
12,喜樂島聯盟,,109,1090113,選務費用支出,濁水溪廣播電台股份有限公司,96862764,0.00,66000.00,,,,製作競選物品或宣傳廣告費用,金錢,雲林縣虎尾鎮****,,,,,,,,
13,喜樂島聯盟,,109,1090115,選務費用支出,台灣宅配通股份有限公司仁德營業所,96984680,0.00,1001.00,,,,郵寄競選物品或宣傳廣告費用,金錢,,,,,,,,,
14,喜樂島聯盟,,109,1090116,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,1350.00,,,,交通旅運費用,金錢,,,,,,,,,
15,喜樂島聯盟,,109,1090116,選務費用支出,忠盈行,56929727,0.00,4536.00,,,,製作競選物品或宣傳廣告費用,金錢,,,,,,,,,
16,喜樂島聯盟,,109,1090117,雜支支出,紅豆屋冷飲店,26461610,0.00,1645.00,,,,餐飲費用,金錢,,,,,,,,,
17,喜樂島聯盟,,109,1090205,業務費用支出,中華郵政股份有限公司,03741302,0.00,1950.00,,,,其他與業務推展有關之費用,金錢,,,,,,,,,
18,喜樂島聯盟,,109,1090212,雜支支出,宏羚股份有限公司台南營業處,10821998,0.00,1276.00,,,,文具用品費用,金錢,,,,,,,,,
19,喜樂島聯盟,,109,1090212,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,2700.00,,,,交通旅運費用,金錢,,,,,,,,,
20,喜樂島聯盟,,109,1090217,業務費用支出,任氏事務機器行,36949226,0.00,3499.00,,,,租買辦公設備費用,金錢,,,,,,,,,
21,喜樂島聯盟,,109,1090220,業務費用支出,中華郵政股份有限公司,03741302,0.00,36.00,,,,其他與業務推展有關之費用,金錢,,,,,,,,,
22,喜樂島聯盟,,109,1090221,業務費用支出,網路家庭國際資訊股份有限公司,16606102,0.00,1490.00,,,,租買辦公設備費用,金錢,,,,,,,,,
23,喜樂島聯盟,,109,1090303,雜支支出,多米有限公司,80246322,0.00,12.00,,,,文具用品費用,金錢,,,,,,,,,
24,喜樂島聯盟,,109,1090303,雜支支出,多米有限公司,80246322,0.00,169.00,,,,文具用品費用,金錢,,,,,,,,,
25,喜樂島聯盟,,109,1090303,雜支支出,天鳳有限公司,54060052,0.00,60.00,,,,文具用品費用,金錢,,,,,,,,,
