序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1110901,宣傳支出,大大攝影,,0.00,1600.00,,,,其他與選舉宣傳有關之費用,金錢,臺北市松山區****,,否,,,,,,,
2,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111012,交通旅運支出,台灣高速鐵路,,0.00,1190.00,,,,搭乘交通工具費用,金錢,桃園市中壢區****,,否,,,,,,,
3,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111015,交通旅運支出,台灣高速鐵路,,0.00,1190.00,,,,搭乘交通工具費用,金錢,桃園市中壢區****,,否,,,,,,,
4,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111021,宣傳支出,欣瀚國際科技有限公司,,0.00,2100.00,,,,製作競選物品或宣傳廣告費用（物品名稱-選舉背心）,金錢,桃園市蘆竹區****,,否,,,,,,,
5,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111024,宣傳支出,欣瀚國際科技有限公司,,0.00,4883.00,,,,製作競選物品或宣傳廣告費用（物品名稱-選舉背心）,金錢,桃園市蘆竹區****,,否,,,,,,,
6,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111025,宣傳支出,俊揚興業有限公司,,0.00,2625.00,,,,製作競選物品或宣傳廣告費用（物品名稱-號碼貼紙）,金錢,桃園市大園區****,,否,,,,,,,
7,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111026,宣傳支出,樞馥企業有限公司,,0.00,11298.00,,,,製作競選物品或宣傳廣告費用（物品名稱-口罩）,金錢,臺南市仁德區****,,否,,,,,,,
8,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111026,宣傳支出,樞馥企業有限公司,,0.00,2751.00,,,,製作競選物品或宣傳廣告費用（物品名稱-口罩）,金錢,臺南市仁德區****,,否,,,,,,,
9,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111103,宣傳支出,俊揚興業有限公司,,0.00,473.00,,,,其他與選舉宣傳有關之費用,金錢,桃園市大園區****,,否,,,,,,,
10,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111108,宣傳支出,俊揚興業有限公司,,0.00,540.00,,,,其他與選舉宣傳有關之費用,金錢,桃園市大園區****,,否,,,,,,,
11,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111110,宣傳支出,俊揚興業有限公司,,0.00,1071.00,,,,其他與選舉宣傳有關之費用,金錢,桃園市大園區****,,否,,,,,,,
12,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111110,宣傳支出,中華郵政-大園郵局,,0.00,2116.00,,,,郵寄競選物品或宣傳廣告費用,金錢,桃園市大園區****,,否,,,,,,,
13,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111111,宣傳支出,中華郵政-大園郵局,,0.00,1576.00,,,,郵寄競選物品或宣傳廣告費用,金錢,桃園市大園區****,,否,,,,,,,
14,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111111,宣傳支出,俊揚興業有限公司,,0.00,2940.00,,,,製作競選物品或宣傳廣告費用（物品名稱-紅布條）,金錢,桃園市大園區****,,否,,,,,,,
15,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111115,交通旅運支出,台灣高速鐵路,,0.00,160.00,,,,搭乘交通工具費用,金錢,桃園市中壢區****,,否,,,,,,,
16,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111115,交通旅運支出,台灣高速鐵路,,0.00,160.00,,,,搭乘交通工具費用,金錢,桃園市中壢區****,,否,,,,,,,
17,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111116,宣傳支出,中華郵政-臺北北門郵局,,0.00,864.00,,,,郵寄競選物品或宣傳廣告費用,金錢,臺北市中正區****,,否,,,,,,,
18,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111119,宣傳支出,中華郵政-臺北松江路郵局,,0.00,993.00,,,,郵寄競選物品或宣傳廣告費用,金錢,臺北市中山區****,,否,,,,,,,
19,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111121,宣傳支出,中華郵政-大園郵局,,0.00,72.00,,,,郵寄競選物品或宣傳廣告費用,金錢,桃園市大園區****,,否,,,,,,,
20,陳則匡,111年桃園市中壢區青埔里里長選舉,首次申報,1111122,宣傳支出,中華郵政-大園郵局,,0.00,216.00,,,,郵寄競選物品或宣傳廣告費用,金錢,桃園市大園區****,,否,,,,,,,
