序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111020,宣傳支出,燦坤實業股份有限公司,,0.00,12990.00,,,,製作競選物品或宣傳廣告費用,金錢,新竹縣竹東鎮****,,否,,,,,,,
2,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111023,宣傳支出,維利隘有限公司,,0.00,330.00,,,,製作競選物品或宣傳廣告費用,金錢,新北市新莊區****,0222*****,否,,,,,,,
3,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111025,宣傳支出,藍格印刷國際企業有限公司,22076600,0.00,1297.00,,,,製作競選物品或宣傳廣告費用（宣傳海報）,金錢,,,否,,,,,,,
4,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111025,宣傳支出,藍格印刷國際企業有限公司,22076600,0.00,3536.00,,,,製作競選物品或宣傳廣告費用（競選文宣）,金錢,,,否,,,,,,,
5,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111031,宣傳支出,佳濃企業有限公司,47318289,0.00,605.00,,,,製作競選物品或宣傳廣告費用（影印紙）,金錢,,,否,,,,,,,
6,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111101,宣傳支出,巧馨企業社,40981296,0.00,6000.00,,,,製作競選物品或宣傳廣告費用（競選背心）,金錢,,,否,,,,,,,
7,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111101,宣傳支出,愛光臨禮贈品坊,41303289,0.00,793.00,,,,製作競選物品或宣傳廣告費用（競選小物）,金錢,,,否,,,,,,,
8,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111103,宣傳支出,巧居醬有限公司,83412871,0.00,579.00,,,,製作競選物品或宣傳廣告費用（奈米膠帶）,金錢,,,否,,,,,,,
9,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111108,宣傳支出,藍格印刷國際企業有限公司,22076600,0.00,885.00,,,,製作競選物品或宣傳廣告費用（手拿旗含塑膠桿）,金錢,,,否,,,,,,,
10,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111108,宣傳支出,仕洋電器有限公司,84754827,0.00,16500.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,,,否,,,,,,,
11,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111109,宣傳支出,藍格印刷國際企業有限公司,22076600,0.00,371.00,,,,製作競選物品或宣傳廣告費用（直式桃太郎旗）,金錢,,,否,,,,,,,
12,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111117,宣傳支出,飄揚禮品旗幟社,17381593,0.00,1360.00,,,,製作競選物品或宣傳廣告費用（旗幟、旗座）,金錢,,,否,,,,,,,
13,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111123,宣傳支出,成宇文具廣場,25241765,0.00,732.00,,,,製作競選物品或宣傳廣告費用（文具用品）,金錢,臺中市神岡區****,0425*****,否,,,,,,,
14,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111123,宣傳支出,文具王企業社,99008898,0.00,140.00,,,,製作競選物品或宣傳廣告費用（文具用品）,金錢,,,否,,,,,,,
15,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111123,宣傳支出,文具王企業社,99008898,0.00,411.00,,,,製作競選物品或宣傳廣告費用（文具用品）,金錢,,,否,,,,,,,
16,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111129,雜支支出,拿坡里披薩,91806650,0.00,4793.00,,,,工作人員餐食,金錢,新竹縣竹東鎮****,,否,,,,,,,
17,陳芳畇,111年新竹縣竹東鎮鎮民代表選舉,首次申報,1111201,宣傳支出,振昌文具印刷,15284005,0.00,2350.00,,,,製作競選物品或宣傳廣告費用（碎紙機）,金錢,,,否,,,,,,,
