序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,彭俊豪,109年立法委員選舉,第2次賸餘,1100101,當選後與其公務有關之費用支出,自由時報中壢分社,,0.00,300.00,,,,書報雜誌費用,金錢,桃園市中壢區****,,,,,,,,,
2,彭俊豪,109年立法委員選舉,第2次賸餘,1100101,當選後與其公務有關之費用支出,大潤發流通事業股份有限公司中壢分公司,80030744,0.00,426.00,,,,餐飲費用,金錢,,,,,,,,,,
3,彭俊豪,109年立法委員選舉,第2次賸餘,1100102,當選後與其公務有關之費用支出,阿潭蔬果行,49677922,0.00,487.00,,,,餐飲費用,金錢,,,,,,,,,,
4,彭俊豪,109年立法委員選舉,第2次賸餘,1100102,當選後與其公務有關之費用支出,大潤發流通事業股份有限公司中壢分公司,80030744,0.00,359.00,,,,餐飲費用,金錢,,,,,,,,,,
5,彭俊豪,109年立法委員選舉,第2次賸餘,1100103,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,934.00,,,,油資,金錢,,,,,,,,,,
6,彭俊豪,109年立法委員選舉,第2次賸餘,1100103,當選後與其公務有關之費用支出,鉦曜五金商行,85249093,0.00,377.00,,,,雜項購置或修繕費用,金錢,,,,,,,,,,
7,彭俊豪,109年立法委員選舉,第2次賸餘,1100105,當選後與其公務有關之費用支出,宏昇加油站有限公司,89824745,0.00,1521.00,,,,油資,金錢,,,,,,,,,,
8,彭俊豪,109年立法委員選舉,第2次賸餘,1100106,當選後與其公務有關之費用支出,中華賓士汽車股份有限公司桃園營業所,21584640,0.00,21005.00,,,,維修宣傳車輛費用,金錢,,,,,,,,,,
9,彭俊豪,109年立法委員選舉,第2次賸餘,1100107,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處中壢工業區,44953265,0.00,514.00,,,,油資,金錢,,,,,,,,,,
10,彭俊豪,109年立法委員選舉,第2次賸餘,1100109,當選後與其公務有關之費用支出,台灣中油（股）油品行銷事業部台北營業處光復北路加油站,01606343,0.00,1566.00,,,,油資,金錢,,,,,,,,,,
11,彭俊豪,109年立法委員選舉,第2次賸餘,1100110,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處中壢工業區,44953265,0.00,713.00,,,,油資,金錢,,,,,,,,,,
12,彭俊豪,109年立法委員選舉,第2次賸餘,1100111,當選後與其公務有關之費用支出,大潤發流通事業股份有限公司中壢分公司,80030744,0.00,225.00,,,,餐飲費用,金錢,,,,,,,,,,
13,彭俊豪,109年立法委員選舉,第2次賸餘,1100112,當選後與其公務有關之費用支出,禾菘企業社,30174148,0.00,420.00,,,,餐飲費用,金錢,,,,,,,,,,
14,彭俊豪,109年立法委員選舉,第2次賸餘,1100113,當選後與其公務有關之費用支出,富順流通有限公司,25199443,0.00,1587.00,,,,油資,金錢,,,,,,,,,,
15,彭俊豪,109年立法委員選舉,第2次賸餘,1100113,當選後與其公務有關之費用支出,阿潭蔬果行,49677922,0.00,393.00,,,,餐飲費用,金錢,,,,,,,,,,
16,彭俊豪,109年立法委員選舉,第2次賸餘,1100114,捐贈政治團體或所屬政黨支出,民進黨,76905744,0.00,12000.00,,,,捐贈政治團體或所屬政黨支出,金錢,臺北市中正區****,,,,,,,,,
17,彭俊豪,109年立法委員選舉,第2次賸餘,1100117,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,1129.00,,,,油資,金錢,,,,,,,,,,
18,彭俊豪,109年立法委員選舉,第2次賸餘,1100119,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處平鎮加油站,44533314,0.00,530.00,,,,油資,金錢,,,,,,,,,,
19,彭俊豪,109年立法委員選舉,第2次賸餘,1100120,當選後與其公務有關之費用支出,禾菘企業社,30174148,0.00,165.00,,,,餐飲費用,金錢,,,,,,,,,,
20,彭俊豪,109年立法委員選舉,第2次賸餘,1100122,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,530.00,,,,油資,金錢,,,,,,,,,,
21,彭俊豪,109年立法委員選舉,第2次賸餘,1100122,當選後與其公務有關之費用支出,大潤發流通事業股份有限公司中壢分公司,80030744,0.00,211.00,,,,餐飲費用,金錢,,,,,,,,,,
22,彭俊豪,109年立法委員選舉,第2次賸餘,1100125,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處平鎮加油站,44533314,0.00,532.00,,,,油資,金錢,,,,,,,,,,
23,彭俊豪,109年立法委員選舉,第2次賸餘,1100127,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,532.00,,,,油資,金錢,,,,,,,,,,
24,彭俊豪,109年立法委員選舉,第2次賸餘,1100127,當選後與其公務有關之費用支出,環中股份有限公司,70686102,0.00,1000.00,,,,油資,金錢,,,,,,,,,,
25,彭俊豪,109年立法委員選舉,第2次賸餘,1100129,當選後與其公務有關之費用支出,大潤發流通事業股份有限公司中壢分公司,80030744,0.00,512.00,,,,餐飲費用,金錢,,,,,,,,,,
26,彭俊豪,109年立法委員選舉,第2次賸餘,1100129,當選後與其公務有關之費用支出,鉦曜五金商行,85249093,0.00,244.00,,,,雜項購置或修繕費用,金錢,,,,,,,,,,
27,彭俊豪,109年立法委員選舉,第2次賸餘,1100130,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處中壢工業區,44953265,0.00,812.00,,,,油資,金錢,,,,,,,,,,
28,彭俊豪,109年立法委員選舉,第2次賸餘,1100131,當選後與其公務有關之費用支出,美麗華城市發展股份有限公司,16447098,0.00,3080.00,,,,餐飲費用,金錢,,,,,,,,,,
29,彭俊豪,109年立法委員選舉,第2次賸餘,1100131,當選後與其公務有關之費用支出,阿潭蔬果行,49677922,0.00,210.00,,,,餐飲費用,金錢,,,,,,,,,,
30,彭俊豪,109年立法委員選舉,第2次賸餘,1100131,當選後與其公務有關之費用支出,大潤發流通事業股份有限公司中壢分公司,80030744,0.00,225.00,,,,餐飲費用,金錢,,,,,,,,,,
31,彭俊豪,109年立法委員選舉,第2次賸餘,1100201,當選後與其公務有關之費用支出,自由時報中壢分社,,0.00,300.00,,,,書報雜誌費用,金錢,桃園市中壢區****,,,,,,,,,
32,彭俊豪,109年立法委員選舉,第2次賸餘,1100201,當選後與其公務有關之費用支出,聯合報中壢分社,,0.00,300.00,,,,書報雜誌費用,金錢,桃園市中壢區****,,,,,,,,,
33,彭俊豪,109年立法委員選舉,第2次賸餘,1100201,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處中壢工業區,44953265,0.00,530.00,,,,油資,金錢,,,,,,,,,,
34,彭俊豪,109年立法委員選舉,第2次賸餘,1100203,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,530.00,,,,油資,金錢,,,,,,,,,,
35,彭俊豪,109年立法委員選舉,第2次賸餘,1100203,當選後與其公務有關之費用支出,台灣中油股份有限公司油品行銷事業部桃園營業處新屋加油,44542622,0.00,1597.00,,,,油資,金錢,,,,,,,,,,
36,彭俊豪,109年立法委員選舉,第2次賸餘,1100204,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,669.00,,,,油資,金錢,,,,,,,,,,
37,彭俊豪,109年立法委員選舉,第2次賸餘,1100205,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,530.00,,,,油資,金錢,,,,,,,,,,
38,彭俊豪,109年立法委員選舉,第2次賸餘,1100208,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處中壢工業區,44953265,0.00,530.00,,,,油資,金錢,,,,,,,,,,
