序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,鍾易仲,113年立法委員選舉,首次申報,1120626,宣傳支出,順易利實業有限公司,16734752,0.00,64000.00,,,,製作競選物品或宣傳廣告費用,金錢,臺北市大安區****,,否,,,,,,,
2,鍾易仲,113年立法委員選舉,首次申報,1120801,宣傳支出,利昇貿易有限公司,27920590,0.00,70000.00,,,,製作競選物品或宣傳廣告費用,金錢,臺中市南區忠****,,否,,,,,,,
3,鍾易仲,113年立法委員選舉,首次申報,1120802,宣傳支出,卡登實業股份有限公司,81152744,0.00,420000.00,,,,製作競選物品或宣傳廣告費用,金錢,高雄市前鎮區****,,否,,,,,,,
4,鍾易仲,113年立法委員選舉,首次申報,1120805,雜支支出,三和電訊有限公司,,0.00,512.00,,,,電信費用,金錢,臺北市內湖區****,,否,,,,,,,
5,鍾易仲,113年立法委員選舉,首次申報,1120805,雜支支出,旺來興企業股份有限公司,,0.00,1884.00,,,,雜項購置或修繕費用,金錢,高雄市鳥松區****,,否,,,,,,,
6,鍾易仲,113年立法委員選舉,首次申報,1120806,宣傳支出,戶立休閒育樂,88080099,0.00,94500.00,,,,辦理活動費用,金錢,高雄市前鎮區****,,否,,,,,,,
7,鍾易仲,113年立法委員選舉,首次申報,1120807,公共關係費用支出,傳家寶教育贈品社,,0.00,9950.00,,,,輓聯,金錢,臺中市北屯區****,,否,,,,,,,
8,鍾易仲,113年立法委員選舉,首次申報,1120815,宣傳支出,加多廣告派報工作室,,0.00,10000.00,,,,派報,金錢,臺南市東區崇****,,否,,,,,,,
9,鍾易仲,113年立法委員選舉,首次申報,1120815,雜支支出,偉昶食品股份有限公司仁武營業所,,0.00,4056.00,,,,雜項購置或修繕費用,金錢,高雄市仁武區****,,否,,,,,,,
10,鍾易仲,113年立法委員選舉,首次申報,1120815,宣傳支出,南台灣之聲廣播股份有限公司,89281340,0.00,200000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,高雄市苓雅區****,,否,,,,,,,
11,鍾易仲,113年立法委員選舉,首次申報,1120816,宣傳支出,加多廣告派報工作室,,0.00,9000.00,,,,派報,金錢,臺南市東區崇****,,否,,,,,,,
12,鍾易仲,113年立法委員選舉,首次申報,1120816,交通旅運支出,台灣中油股份有限公司油品行銷事業部高雄營業處中正二路加油站,,0.00,1367.00,,,,油資,金錢,高雄市新興區****,,否,,,,,,,
13,鍾易仲,113年立法委員選舉,首次申報,1120816,宣傳支出,港都廣播電台股份有限公司,89280861,0.00,251000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,高雄市三民區****,,否,,,,,,,
14,鍾易仲,113年立法委員選舉,首次申報,1120817,宣傳支出,加多廣告派報工作室,,0.00,9805.00,,,,派報,金錢,臺南市東區崇****,,否,,,,,,,
15,鍾易仲,113年立法委員選舉,首次申報,1120817,宣傳支出,富樂夢股份有限公司,68678247,0.00,267000.00,,,,製作競選物品或宣傳廣告費用,金錢,臺南市中西區****,,否,,,,,,,
16,鍾易仲,113年立法委員選舉,首次申報,1120818,雜支支出,旺來昌實業股份有限公司鳳山店,,0.00,360.00,,,,雜項購置或修繕費用,金錢,高雄市鳳山區****,,否,,,,,,,
17,鍾易仲,113年立法委員選舉,首次申報,1120819,宣傳支出,戶立休閒育樂,88080099,0.00,104370.00,,,,辦理活動費用,金錢,高雄市前鎮區****,,否,,,,,,,
18,鍾易仲,113年立法委員選舉,首次申報,1120822,宣傳支出,蘋果娛樂有限公司,83219073,0.00,376660.00,,,,委託辦理研究、評估、調查、設計或規劃費用,金錢,高雄市仁武區****,,否,,,,,,,
19,鍾易仲,113年立法委員選舉,首次申報,1120826,宣傳支出,全真企業行,,0.00,4675.00,,,,製作競選物品或宣傳廣告費用,金錢,高雄市三民區****,,否,,,,,,,
20,鍾易仲,113年立法委員選舉,首次申報,1120828,宣傳支出,誠羽色彩創意有限公司,24209562,0.00,336000.00,,,,製作競選物品或宣傳廣告費用,金錢,新北市新莊區****,,否,,,,,,,
21,鍾易仲,113年立法委員選舉,首次申報,1120829,宣傳支出,中國時報文化事業股份有限公司,03798509,0.00,600000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,臺北市萬華區****,,否,,,,,,,
22,鍾易仲,113年立法委員選舉,首次申報,1120831,雜支支出,百乘企業行,,0.00,230.00,,,,文具用品費用,金錢,高雄市三民區****,,否,,,,,,,
23,鍾易仲,113年立法委員選舉,首次申報,1120831,雜支支出,百乘企業行,,0.00,6390.00,,,,文具用品費用,金錢,高雄市三民區****,,否,,,,,,,
24,鍾易仲,113年立法委員選舉,首次申報,1120908,宣傳支出,皮爾森數據股份有限公司,90805823,0.00,157500.00,,,,委託辦理研究、評估、調查、設計或規劃費用,金錢,臺北市萬華區****,,否,,,,,,,
