序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,蔡其昌,109年立法委員選舉,第一次賸餘,1090211,當選後與其公務有關之費用支出,中華郵政,03741302,0.00,84.00,,,,雜項購置或修繕費用,金錢,,,,,,,,,
2,蔡其昌,109年立法委員選舉,第一次賸餘,1090211,當選後與其公務有關之費用支出,饌玉豐麵食館,38558104,0.00,1025.00,,,,餐飲支出,金錢,,,,,,,,,
3,蔡其昌,109年立法委員選舉,第一次賸餘,1090211,當選後與其公務有關之費用支出,楊記牛肉麵,47418787,0.00,330.00,,,,餐飲支出,金錢,,,,,,,,,
4,蔡其昌,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,目福米苔,,0.00,300.00,,,,餐飲支出,金錢,,04-2*****,,,,,,,
5,蔡其昌,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,中華郵政,03741302,0.00,200.00,,,,雜項購置或修繕費用,金錢,,,,,,,,,
6,蔡其昌,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,中華電信(南區台中營運處),52003801,0.00,2039.00,,,,電信費用,金錢,,,,,,,,,
7,蔡其昌,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,中華電信(台中營運處),52003801,0.00,1072.00,,,,電信費用,金錢,,,,,,,,,
8,蔡其昌,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,李阿舍小吃店,72550670,0.00,3500.00,,,,餐飲支出,金錢,,,,,,,,,
9,蔡其昌,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,中華電信(台北營運處),81691784,0.00,1133.00,,,,電信費用,金錢,,,,,,,,,
10,蔡其昌,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,昱盛印刷事業有限公司,86937040,0.00,27510.00,,,,製作宣傳廣告支出,金錢,臺中市西屯區****,04-2*****,,,,,,,
11,蔡其昌,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,阿在筒仔米糕店,98858386,0.00,140.00,,,,餐飲支出,金錢,,,,,,,,,
12,蔡其昌,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,陳進生,L10*******,0.00,1200.00,,,,雜項購置或修繕費用,金錢,,,,,,,,,
13,蔡其昌,109年立法委員選舉,第一次賸餘,1090213,當選後與其公務有關之費用支出,鼎鱻鮮魚湯,,0.00,3650.00,,,,餐飲支出,金錢,,04-2*****,,,,,,,
14,蔡其昌,109年立法委員選舉,第一次賸餘,1090213,當選後與其公務有關之費用支出,中華郵政,03741302,0.00,108.00,,,,雜項購置或修繕費用,金錢,,,,,,,,,
15,蔡其昌,109年立法委員選舉,第一次賸餘,1090213,當選後與其公務有關之費用支出,統一鮮花部,18331066,0.00,1800.00,,,,為民服務費用,金錢,,,,,,,,,
16,蔡其昌,109年立法委員選舉,第一次賸餘,1090213,當選後與其公務有關之費用支出,吳池上飯包,21492662,0.00,560.00,,,,餐飲支出,金錢,,,,,,,,,
17,蔡其昌,109年立法委員選舉,第一次賸餘,1090213,當選後與其公務有關之費用支出,好家香爌肉飯,77676918,0.00,210.00,,,,餐飲支出,金錢,,,,,,,,,
18,蔡其昌,109年立法委員選舉,第一次賸餘,1090213,當選後與其公務有關之費用支出,池上便當,93917007,0.00,350.00,,,,餐飲支出,金錢,,,,,,,,,
19,蔡其昌,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,中華郵政,03741302,0.00,60.00,,,,雜項購置或修繕費用,金錢,,,,,,,,,
20,蔡其昌,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,吳池上飯包,21492662,0.00,490.00,,,,餐飲支出,金錢,,,,,,,,,
21,蔡其昌,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,阿香港味燒臘店,25389909,0.00,480.00,,,,餐飲支出,金錢,,,,,,,,,
22,蔡其昌,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,水世界洗車場,47303027,0.00,2500.00,,,,雜項購置或修繕費用,金錢,,,,,,,,,
