序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,吳世正,107年直轄市議員選舉,第二次賸餘,1090101,當選後與其公務有關之費用支出,新光三越百貨,70824891,0.00,1620.00,,,,餐飲費用,金錢,,,,,,,,,
2,吳世正,107年直轄市議員選舉,第二次賸餘,1090104,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1455.00,,,,油資,金錢,,,,,,,,,
3,吳世正,107年直轄市議員選舉,第二次賸餘,1090104,當選後與其公務有關之費用支出,家福(股)公司,27257881,0.00,8975.00,,,,文康活動費用-摸彩品,金錢,,,,,,,,,
4,吳世正,107年直轄市議員選舉,第二次賸餘,1090106,當選後與其公務有關之費用支出,遠傳電信,97179430,0.00,1146.00,,,,電信費用,金錢,,,,,,,,,
5,吳世正,107年直轄市議員選舉,第二次賸餘,1090108,當選後與其公務有關之費用支出,亞太電信,70771579,0.00,1075.00,,,,電信費用,金錢,,,,,,,,,
6,吳世正,107年直轄市議員選舉,第二次賸餘,1090108,當選後與其公務有關之費用支出,遠傳電信,97179430,0.00,1845.00,,,,電信費用,金錢,,,,,,,,,
7,吳世正,107年直轄市議員選舉,第二次賸餘,1090113,當選後與其公務有關之費用支出,遠傳電信,97179430,0.00,1643.00,,,,電信費用,金錢,,,,,,,,,
8,吳世正,107年直轄市議員選舉,第二次賸餘,1090114,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1573.00,,,,油資,金錢,,,,,,,,,
9,吳世正,107年直轄市議員選舉,第二次賸餘,1090120,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1539.00,,,,油資,金錢,,,,,,,,,
10,吳世正,107年直轄市議員選舉,第二次賸餘,1090131,當選後與其公務有關之費用支出,大潤發流通事業(股),80030723,0.00,9541.00,,,,文康活動費用-摸彩品,金錢,,,,,,,,,
11,吳世正,107年直轄市議員選舉,第二次賸餘,1090202,當選後與其公務有關之費用支出,亞太電信,70771579,0.00,1035.00,,,,電信費用,金錢,,,,,,,,,
12,吳世正,107年直轄市議員選舉,第二次賸餘,1090204,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1423.00,,,,油資,金錢,,,,,,,,,
13,吳世正,107年直轄市議員選舉,第二次賸餘,1090211,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1323.00,,,,油資,金錢,,,,,,,,,
14,吳世正,107年直轄市議員選舉,第二次賸餘,1090219,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1213.00,,,,油資,金錢,,,,,,,,,
15,吳世正,107年直轄市議員選舉,第二次賸餘,1090224,當選後與其公務有關之費用支出,遠傳電信,97179430,0.00,3836.00,,,,電信費用,金錢,,,,,,,,,
16,吳世正,107年直轄市議員選舉,第二次賸餘,1090226,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1118.00,,,,油資,金錢,,,,,,,,,
17,吳世正,107年直轄市議員選舉,第二次賸餘,1090226,當選後與其公務有關之費用支出,小魏校園餐飲,52440628,0.00,2710.00,,,,餐飲費用,金錢,,,,,,,,,
18,吳世正,107年直轄市議員選舉,第二次賸餘,1090229,當選後與其公務有關之費用支出,小豬樂石餐飲,50791324,0.00,1937.00,,,,餐飲費用,金錢,,,,,,,,,
19,吳世正,107年直轄市議員選舉,第二次賸餘,1090302,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1247.00,,,,油資,金錢,,,,,,,,,
20,吳世正,107年直轄市議員選舉,第二次賸餘,1090302,當選後與其公務有關之費用支出,亞太電信,70771579,0.00,1073.00,,,,電信費用,金錢,,,,,,,,,
21,吳世正,107年直轄市議員選舉,第二次賸餘,1090308,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1346.00,,,,油資,金錢,,,,,,,,,
22,吳世正,107年直轄市議員選舉,第二次賸餘,1090308,當選後與其公務有關之費用支出,遠傳電信,97179430,0.00,2173.00,,,,電信費用,金錢,,,,,,,,,
23,吳世正,107年直轄市議員選舉,第二次賸餘,1090315,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1328.00,,,,油資,金錢,,,,,,,,,
24,吳世正,107年直轄市議員選舉,第二次賸餘,1090326,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1016.00,,,,油資,金錢,,,,,,,,,
25,吳世正,107年直轄市議員選舉,第二次賸餘,1090327,當選後與其公務有關之費用支出,比薩幫有限公司,52933860,0.00,1520.00,,,,餐飲費用,金錢,,,,,,,,,
26,吳世正,107年直轄市議員選舉,第二次賸餘,1090401,當選後與其公務有關之費用支出,潤泰力勝開發,72948383,0.00,1682.00,,,,餐飲費用,金錢,,,,,,,,,
27,吳世正,107年直轄市議員選舉,第二次賸餘,1090401,當選後與其公務有關之費用支出,遠傳電信,97179430,0.00,5139.00,,,,電信費用,金錢,,,,,,,,,
28,吳世正,107年直轄市議員選舉,第二次賸餘,1090402,當選後與其公務有關之費用支出,亞太電信,70771579,0.00,1020.00,,,,電信費用,金錢,,,,,,,,,
29,吳世正,107年直轄市議員選舉,第二次賸餘,1090407,當選後與其公務有關之費用支出,遠傳電信,97179430,0.00,1698.00,,,,電信費用,金錢,,,,,,,,,
30,吳世正,107年直轄市議員選舉,第二次賸餘,1090410,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,966.00,,,,油資,金錢,,,,,,,,,
31,吳世正,107年直轄市議員選舉,第二次賸餘,1090421,當選後與其公務有關之費用支出,埔里龍山泉實業(股)公司,86760042,0.00,31752.00,,,,文康活動費用-瓶裝水,金錢,南投縣埔里鎮****,,,,,,,,
32,吳世正,107年直轄市議員選舉,第二次賸餘,1090422,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,921.00,,,,油資,金錢,,,,,,,,,
33,吳世正,107年直轄市議員選舉,第二次賸餘,1090430,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,931.00,,,,油資,金錢,,,,,,,,,
