序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,林德福,105年立法委員選舉,第四次賸餘,1080101,當選後與其公務有關之費用支出,迷迷羊有限公司,80683879,0.00,1100.00,餐飲支出,金錢,,,
2,林德福,105年立法委員選舉,第四次賸餘,1080104,當選後與其公務有關之費用支出,590-K2,,0.00,75.00,搭乘交通工具支出,金錢,,0987*****,
3,林德福,105年立法委員選舉,第四次賸餘,1080104,當選後與其公務有關之費用支出,大同綜合訊電股份有限公司,09821149,0.00,24500.00,聯誼交際費用-年節摸彩活動電烤箱個,金錢,,,
4,林德福,105年立法委員選舉,第四次賸餘,1080105,當選後與其公務有關之費用支出,剛剛股份有限公司,52506917,0.00,1650.00,餐飲支出,金錢,,,
5,林德福,105年立法委員選舉,第四次賸餘,1080108,當選後與其公務有關之費用支出,佳泓汽球花藝設計坊,15777520,0.00,29700.00,聯誼交際費用-花籃一批,金錢,,,
6,林德福,105年立法委員選舉,第四次賸餘,1080109,當選後與其公務有關之費用支出,台灣中油股份有限公司,66902331,0.00,1154.00,油資,金錢,,,
7,林德福,105年立法委員選舉,第四次賸餘,1080110,當選後與其公務有關之費用支出,迷迷羊有限公司,80683879,0.00,2220.00,餐飲支出,金錢,,,
8,林德福,105年立法委員選舉,第四次賸餘,1080110,當選後與其公務有關之費用支出,中華電信股份有限公司,92887342,0.00,1378.00,電信費用-中華電信費,金錢,,,
9,林德福,105年立法委員選舉,第四次賸餘,1080110,當選後與其公務有關之費用支出,台灣大哥大股份有限公司,97176270,0.00,702.00,電信費用-台灣大哥大電信費,金錢,,,
10,林德福,105年立法委員選舉,第四次賸餘,1080111,當選後與其公務有關之費用支出,台北自來水公司,03774909,0.00,268.00,水電瓦斯費用-水費,金錢,,,
11,林德福,105年立法委員選舉,第四次賸餘,1080111,當選後與其公務有關之費用支出,勇宏實業有限公司,79960349,0.00,179928.00,製作宣傳廣告支出-春聯張,金錢,新北市永和區****,2921*****,
12,林德福,105年立法委員選舉,第四次賸餘,1080112,當選後與其公務有關之費用支出,剛剛股份有限公司,52506917,0.00,759.00,餐飲支出,金錢,,,
13,林德福,105年立法委員選舉,第四次賸餘,1080113,當選後與其公務有關之費用支出,海底撈火鍋,24944747,0.00,941.00,餐飲支出,金錢,,,
14,林德福,105年立法委員選舉,第四次賸餘,1080113,當選後與其公務有關之費用支出,司派客有限公司,54359855,0.00,3300.00,餐飲支出,金錢,,,
15,林德福,105年立法委員選舉,第四次賸餘,1080115,當選後與其公務有關之費用支出,駿亞企業社,10683593,0.00,9000.00,聯誼交際費用-匾額組,金錢,,,
16,林德福,105年立法委員選舉,第四次賸餘,1080121,當選後與其公務有關之費用支出,中華郵政股份有限公司,,0.00,175.00,郵寄競選物品或宣傳廣告支出,金錢,臺北市中正區****,,
17,林德福,105年立法委員選舉,第四次賸餘,1080121,當選後與其公務有關之費用支出,新北市雙和停車場,,0.00,15.00,停車費,金錢,新北市中和區****,,
18,林德福,105年立法委員選舉,第四次賸餘,1080122,當選後與其公務有關之費用支出,新光三越股份有限公司,84308670,0.00,1310.00,餐飲支出,金錢,,,
19,林德福,105年立法委員選舉,第四次賸餘,1080125,當選後與其公務有關之費用支出,台北捷運公司,,0.00,1000.00,搭乘交通工具支出,金錢,,2181*****,
20,林德福,105年立法委員選舉,第四次賸餘,1080125,當選後與其公務有關之費用支出,中華電信股份有限公司,92887342,0.00,1430.00,電信費用-中華電信費,金錢,,,
21,林德福,105年立法委員選舉,第四次賸餘,1080125,當選後與其公務有關之費用支出,德安加油站,96907299,0.00,1123.00,油資,金錢,,,
22,林德福,105年立法委員選舉,第四次賸餘,1080128,當選後與其公務有關之費用支出,中華電信股份有限公司,92887342,0.00,379.00,電信費用-中華電信費,金錢,,,
23,林德福,105年立法委員選舉,第四次賸餘,1080129,當選後與其公務有關之費用支出,中華郵政股份有限公司,,0.00,100.00,郵寄競選物品或宣傳廣告支出,金錢,,2311*****,
24,林德福,105年立法委員選舉,第四次賸餘,1080129,當選後與其公務有關之費用支出,新光三越股份有限公司,84308670,0.00,1381.00,餐飲支出,金錢,,,
25,林德福,105年立法委員選舉,第四次賸餘,1080131,當選後與其公務有關之費用支出,文化派報社,,0.00,900.00,書報雜誌費用-報費,金錢,,2247*****,
26,林德福,105年立法委員選舉,第四次賸餘,1080131,當選後與其公務有關之費用支出,林家花苑,66926072,0.00,10000.00,聯誼交際費用-高架花籃一批,金錢,,,
27,林德福,105年立法委員選舉,第四次賸餘,1080201,當選後與其公務有關之費用支出,台灣電力公司,04860092,0.00,1915.00,水電瓦斯費用-電費,金錢,,,
28,林德福,105年立法委員選舉,第四次賸餘,1080202,當選後與其公務有關之費用支出,食育有限公司,24938219,0.00,935.00,餐飲支出,金錢,,,
29,林德福,105年立法委員選舉,第四次賸餘,1080202,當選後與其公務有關之費用支出,迷迷羊有限公司,80683879,0.00,2900.00,餐飲支出,金錢,,,
30,林德福,105年立法委員選舉,第四次賸餘,1080203,當選後與其公務有關之費用支出,臺虎精釀西門門市,42465584,0.00,1600.00,餐飲支出,金錢,,,
31,林德福,105年立法委員選舉,第四次賸餘,1080214,當選後與其公務有關之費用支出,心邑餐廳,46402409,0.00,2816.00,餐飲支出,金錢,,,
