序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,自由台灣黨,,109,1090102,雜支支出,藍新科技科技股份有限公司,70565326,0.00,5.00,,,,線上金流平台手續費,金錢,臺北市南港區****,02-2*****,,,,,,,
2,自由台灣黨,,109,1090108,雜支支出,藍新科技股份有限公司,70565326,0.00,23.00,,,,線上金流平台手續費,金錢,臺北市南港區****,02-2*****,,,,,,,
3,自由台灣黨,,109,1090109,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,700.00,,,,交通旅運費用,金錢,臺北市南港區****,,,,,,,,
4,自由台灣黨,,109,1090109,業務費用支出,台灣高速鐵路股份有限公司,16446274,0.00,525.00,,,,交通旅運費用,金錢,臺北市南港區****,,,,,,,,
5,自由台灣黨,,109,1090109,業務費用支出,計程車車號TDJ5399,,0.00,260.00,,,,交通旅運費用,金錢,臺中市****,04-2*****,,,,,,,
6,自由台灣黨,,109,1090109,雜支支出,中華電信股份有限公司,81691784,0.00,1406.00,,,,電信費用,金錢,臺北市大安區****,,,,,,,,
7,自由台灣黨,,109,1090114,業務費用支出,綠界科技股份有限公司,97025978,0.00,27500.00,,,,其他與業務推展有關之費用,金錢,臺北市南港區****,02-2*****,,,,,,,
8,自由台灣黨,,109,1090203,雜支支出,中華郵政股份有限公司,03741302,0.00,85.00,,,,匯費,金錢,臺北市大安區****,02-2*****,,,,,,,
9,自由台灣黨,,109,1090206,雜支支出,中華電信股份有限公司,81691784,0.00,999.00,,,,電信費用,金錢,臺北市大安區****,,,,,,,,
10,自由台灣黨,,109,1090206,業務費用支出,中華郵政股份有限公司,03741302,0.00,84.00,,,,其他與業務推展有關之費用,金錢,臺北市大安區****,,,,,,,,
11,自由台灣黨,,109,1090206,雜支支出,幫你送快遞,24960703,0.00,105.00,,,,快遞費,金錢,,02-4*****,,,,,,,
12,自由台灣黨,,109,1090213,業務費用支出,中華郵政股份有限公司,03741302,0.00,56.00,,,,其他與業務推展有關之費用,金錢,臺北市大安區****,,,,,,,,
13,自由台灣黨,,109,1090213,雜支支出,第一商業銀行股份有限公司,05052322,0.00,50.00,,,,其他為維持日常運作所必要之相關費用,金錢,臺北市中正區****,,,,,,,,
14,自由台灣黨,,109,1090213,雜支支出,臺灣臺北地方法院,03765303,0.00,1000.00,,,,其他為維持日常運作所必要之相關費用,金錢,臺北市中正區****,02-2*****,,,,,,,
15,自由台灣黨,,109,1090213,雜支支出,中華電信股份有限公司台灣北區電信分公司台北營運處,81691784,0.00,1271.00,,,,電信費用,金錢,臺北市大安區****,,,,,,,,
16,自由台灣黨,,109,1090227,雜支支出,中華電信股份有限公司台灣北區電信分公司台北營運處,81691784,0.00,999.00,,,,電信費用,金錢,臺北市大安區****,,,,,,,,
17,自由台灣黨,,109,1090227,業務費用支出,計程車車號856-3C,,0.00,135.00,,,,交通旅運費用,金錢,臺北市中山區****,02-2*****,,,,,,,
18,自由台灣黨,,109,1090227,業務費用支出,計程車車號TDD3678,,0.00,180.00,,,,交通旅運費用,金錢,臺北市中山區****,02-2*****,,,,,,,
19,自由台灣黨,,109,1090303,雜支支出,中華郵政股份有限公司,03741302,0.00,75.00,,,,轉帳手續費,金錢,臺北市大安區****,,,,,,,,
20,自由台灣黨,,109,1090312,業務費用支出,交通部臺灣鐵路管理局,07524729,0.00,375.00,,,,交通旅運費用,金錢,臺北市中正區****,02-2*****,,,,,,,
21,自由台灣黨,,109,1090312,業務費用支出,交通部臺灣鐵路管理局,07524729,0.00,375.00,,,,交通旅運費用,金錢,臺北市中正區****,02-2*****,,,,,,,
22,自由台灣黨,,109,1090313,業務費用支出,計程車車號TDJ-6861,,0.00,175.00,,,,交通旅運費用,金錢,臺中市中區****,,,,,,,,
23,自由台灣黨,,109,1090313,雜支支出,中華電信股份有限公司台灣北區電信分公司台北營運處,81691784,0.00,1312.00,,,,電信費用,金錢,臺北市大安區****,,,,,,,,
24,自由台灣黨,,109,1090320,雜支支出,中華電信股份有限公司台灣北區電信分公司台北營運處,81691784,0.00,999.00,,,,電信費用,金錢,臺北市大安區****,,,,,,,,
25,自由台灣黨,,109,1090320,雜支支出,正典商務力中心有限公司,89846826,0.00,6300.00,,,,會計事務所記帳費,金錢,臺北市信義區****,,,,,,,,
26,自由台灣黨,,109,1090401,雜支支出,中華郵政股份有限公司,03741302,0.00,75.00,,,,匯款手續費,金錢,臺北市大安區****,,,,,,,,
27,自由台灣黨,,109,1090413,雜支支出,中華電信股份有限公司台灣北區電信分公司台北營運處,81691784,0.00,1270.00,,,,電信費用,金錢,臺北市大安區****,,,,,,,,
28,自由台灣黨,,109,1090413,業務費用支出,遠通電收股份有限公司,98770235,0.00,537.00,,,,交通旅運費用,金錢,臺北市大安區****,,,,,,,,
29,自由台灣黨,,109,1090413,雜支支出,臺北市停車管理工程處,21101573,0.00,140.00,,,,停車費,金錢,臺北市信義區****,02-2*****,,,,,,,
30,自由台灣黨,,109,1090413,雜支支出,臺北市停車管理工程處,21101573,0.00,1295.00,,,,停車費,金錢,臺北市信義區****,02-2*****,,,,,,,
31,自由台灣黨,,109,1090413,雜支支出,新北市政府交通局,10047779,0.00,285.00,,,,停車費,金錢,新北市三重區****,,,,,,,,
32,自由台灣黨,,109,1090413,雜支支出,台灣中油金山南路站,01802133,0.00,175.00,,,,汽機車燃料費用,金錢,臺北市大安區****,02-2*****,,,,,,,
33,自由台灣黨,,109,1090413,雜支支出,台灣卡特爾石油有限公司台南分公司,55696215,0.00,670.00,,,,汽機車燃料費用,金錢,臺南市北區公****,06-2*****,,,,,,,
34,自由台灣黨,,109,1090413,雜支支出,台灣中油龍安站,01802099,0.00,555.00,,,,汽機車燃料費用,金錢,臺北市大安區****,02-2*****,,,,,,,
